,title_class,body_class
138,-0.8008,0.8987
139,0.2732,0.4939
140,0.5106,0.1815
141,-0.521,-0.6808
142,-0.8271,0.9913
143,0.2023,0.8589
144,0.25,0.9906
145,0.1779,0.8519
146,0.3182,0.4019
147,0.0,0.8721
148,0.0,0.4153
149,-0.4525,-0.6898
150,0.7717,0.9985
151,0.25,-0.914
152,-0.1531,-0.9509
153,-0.5574,0.9968
154,0.6597,0.9928
155,0.5423,0.989
156,-0.3919,0.8738
157,0.0,0.8944
158,-0.5719,0.6105
159,0.2919,0.9927
160,-0.6486,-0.1326
161,0.7845,0.836
162,-0.2732,0.9694
163,0.128,0.9954
164,-0.7184,0.5416
165,0.6597,0.9893
166,0.4019,0.9912
167,0.3818,0.9712
168,0.0,0.4404
169,-0.0258,0.7066
170,0.4404,0.9933
171,-0.0129,0.993
172,0.3612,0.9038
173,0.0,0.0
174,0.1779,0.9877
175,0.296,0.1531
176,-0.5106,0.2144
177,-0.3182,-0.6681
178,0.8262,0.802
179,0.0,0.4939
180,0.4019,0.8004
181,0.4019,0.8004
182,0.128,0.9941
183,0.0,0.9693
184,0.25,-0.4601
185,-0.25,0.9519
186,0.0772,0.9954
187,0.3818,0.6808
188,-0.1901,0.8779
189,-0.2263,0.9796
190,0.0,0.6705
191,0.0,0.932
192,0.6597,0.9821
193,0.2732,0.9177
194,0.0772,0.0
195,0.431,0.9979
196,0.34,0.8522
197,0.128,0.9628
198,0.6124,0.9814
199,0.4588,0.9912
200,-0.1531,-0.3003
201,0.4854,0.9273
202,0.8402,0.804
203,-0.2732,-0.0387
204,-0.1406,-0.5346
205,-0.1531,0.9893
206,0.7579,0.997
207,0.2732,-0.0772
208,0.0,0.9652
209,-0.0258,0.2263
210,0.2263,0.7901
211,0.3612,-0.0127
212,-0.5267,0.9327
213,0.4939,-0.0258
214,-0.4588,-0.8658
215,0.5994,0.9886
216,0.4404,0.9368
217,0.4404,-0.5127
218,0.5574,-0.873
219,0.8225,0.5714
220,0.0,0.7583
221,0.5859,0.0
222,0.296,0.7269
223,0.4215,0.9688
224,-0.3612,0.6735
225,0.4939,0.974
226,0.5859,0.3818
227,-0.7271,0.9285
228,0.7964,0.978
229,0.8176,0.0469
230,-0.4404,-0.128
231,0.6808,-0.743
232,0.4767,0.9732
233,0.5118,0.9796
234,-0.024,0.9664
235,0.3182,0.9917
236,0.3818,0.996
237,-0.0258,0.8021
238,-0.2263,0.9781
239,-0.3724,-0.3206
240,0.0,0.9568
241,-0.4019,0.9916
242,0.0,0.9944
243,-0.1531,-0.3003
244,0.6597,0.9928
245,0.4019,-0.9545
246,0.5023,0.8658
247,0.2732,0.9951
248,0.802,0.9814
249,0.7003,0.9927
250,0.4019,0.296
251,0.296,0.9902
252,0.0,0.781
253,0.0,0.9568
254,0.0,0.802
255,0.5859,0.0
256,0.2023,-0.5666
257,0.1531,0.9451
258,0.0,0.8834
259,-0.1808,0.0485
260,0.3818,-0.3291
261,-0.1027,0.7564
262,0.296,0.9891
263,0.0772,0.8922
264,-0.5423,0.9032
265,-0.431,0.7964
266,0.6124,0.9825
267,0.4215,0.3235
268,0.2263,0.9001
269,0.6486,-0.0772
270,0.5719,-0.4957
271,-0.4215,0.9881
272,0.2732,0.5859
273,-0.34,0.95
274,0.4215,0.9061
275,0.8834,0.8176
276,-0.34,0.9619
277,0.4404,0.9828
278,0.0,0.9623
279,0.0,0.903
280,0.0258,0.9884
281,0.128,0.9829
282,0.5423,0.9943
283,0.5719,0.9788
284,0.2732,-0.5522
285,0.6486,0.9951
286,0.4588,0.93
287,0.0,0.6597
288,-0.3506,0.961
289,-0.3506,0.9871
290,0.296,0.9803
291,0.8271,0.9761
292,-0.5106,0.8602
293,-0.355,0.2732
294,-0.4535,0.9322
295,0.296,0.836
296,0.296,0.9738
297,-0.5413,0.9169
298,-0.25,0.9169
299,-0.0772,0.9755
