title_class,body_class
0.0,0.9705
0.4019,0.892
0.1531,0.7495
0.0,0.9325
-0.2263,0.7553
0.4215,0.9794
0.7717,0.9985
-0.0516,0.8701
-0.2023,0.715
-0.4404,0.9934
0.4939,0.9456
0.5267,0.9173
0.25,-0.914
0.4215,0.969
-0.8008,0.8987
0.2732,0.4939
0.5106,0.1815
-0.521,-0.6808
-0.8271,0.9913
0.2023,0.8589
0.25,0.9906
0.1779,0.8519
0.3182,0.4019
0.0,0.8721
0.0,0.4153
-0.4525,-0.6898
0.7717,0.9985
0.25,-0.914
-0.1531,-0.9509
-0.5574,0.9968
0.6597,0.9928
0.5423,0.989
-0.3919,0.8738
0.0,0.8944
-0.5719,0.6105
0.2919,0.9927
-0.6486,-0.1326
0.7845,0.836
-0.2732,0.9694
0.128,0.9954
-0.7184,0.5416
0.6597,0.9893
0.4019,0.9912
0.3818,0.9712
0.0,0.4404
-0.0258,0.7066
0.4404,0.9933
-0.0129,0.993
0.3612,0.9038
0.0,0.0
0.1779,0.9877
0.296,0.1531
-0.5106,0.2144
-0.3182,-0.6681
0.8262,0.802
0.0,0.4939
0.4019,0.8004
0.4019,0.8004
0.128,0.9941
0.0,0.9693
0.25,-0.4601
-0.25,0.9519
0.0772,0.9954
0.3818,0.6808
-0.1901,0.8779
-0.2263,0.9796
0.0,0.6705
0.0,0.932
0.6597,0.9821
0.2732,0.9177
0.0772,0.0
0.431,0.9979
0.34,0.8522
0.128,0.9628
0.6124,0.9814
0.4588,0.9912
-0.1531,-0.3003
0.4854,0.9273
0.8402,0.804
-0.2732,-0.0387
-0.1406,-0.5346
-0.1531,0.9893
0.7579,0.997
0.2732,-0.0772
0.0,0.9652
-0.0258,0.2263
0.2263,0.7901
0.3612,-0.0127
-0.5267,0.9327
0.4939,-0.0258
-0.4588,-0.8658
0.5994,0.9886
0.4404,0.9368
0.4404,-0.5127
0.5574,-0.873
0.8225,0.5714
0.0,0.7583
0.5859,0.0
0.296,0.7269
0.4215,0.9688
-0.3612,0.6735
0.4939,0.974
0.5859,0.3818
-0.7271,0.9285
0.7964,0.978
0.8176,0.0469
-0.4404,-0.128
0.6808,-0.743
0.4767,0.9732
0.5118,0.9796
-0.024,0.9664
0.3182,0.9917
0.3818,0.996
-0.0258,0.8021
-0.2263,0.9781
-0.3724,-0.3206
0.0,0.9568
-0.4019,0.9916
0.0,0.9944
-0.1531,-0.3003
0.6597,0.9928
0.4019,-0.9545
0.5023,0.8658
0.2732,0.9951
0.802,0.9814
0.7003,0.9927
0.4019,0.296
0.296,0.9902
0.0,0.781
0.0,0.9568
0.0,0.802
0.5859,0.0
0.2023,-0.5666
0.1531,0.9451
0.0,0.8834
-0.1808,0.0485
0.3818,-0.3291
-0.1027,0.7564
0.296,0.9891
0.0772,0.8922
-0.5423,0.9032
-0.431,0.7964
0.6124,0.9825
0.4215,0.3235
0.2263,0.9001
0.6486,-0.0772
0.5719,-0.4957
-0.4215,0.9881
0.2732,0.5859
-0.34,0.95
0.4215,0.9061
0.8834,0.8176
-0.34,0.9619
0.4404,0.9828
0.0,0.9623
0.0,0.903
0.0258,0.9884
0.128,0.9829
0.5423,0.9943
0.5719,0.9788
0.2732,-0.5522
0.6486,0.9951
0.4588,0.93
0.0,0.6597
-0.3506,0.961
-0.3506,0.9871
0.296,0.9803
0.8271,0.9761
-0.5106,0.8602
-0.355,0.2732
-0.4535,0.9322
0.296,0.836
0.296,0.9738
-0.5413,0.9169
-0.25,0.9169
-0.0772,0.9755
0.4404,0.802
0.4019,0.802
